0ed653ab-62ba-4deb-8348-3086ab46961c	--- files=0 freed=0.00GB catalogChecked=0 lowMatchKept=0 r2Missed=0 apply=0
19dcd635-1d2b-4e41-9950-5865876e12b2	--- files=0 freed=0.00GB catalogChecked=0 lowMatchKept=0 r2Missed=9 apply=0
2e68d8a0-9b0e-4573-8185-323edaabb186	--- files=12 freed=0.00GB catalogChecked=0 lowMatchKept=0 r2Missed=0 apply=0
3ec8f6dd-1735-4479-9825-a2c42edac34c	--- files=5 freed=0.19GB catalogChecked=0 lowMatchKept=0 r2Missed=39 apply=0
4df23039-272b-4621-9d77-7cf9b7121242	--- files=2 freed=0.00GB catalogChecked=0 lowMatchKept=0 r2Missed=0 apply=0
5bc984ee-e2d2-4312-9e6c-b2864524a21f	--- files=200 freed=0.30GB catalogChecked=0 lowMatchKept=0 r2Missed=6 apply=0
708a8ce4-96dd-409d-94e7-a91d5032e4e0	--- files=66 freed=0.41GB catalogChecked=0 lowMatchKept=0 r2Missed=1 apply=0
7fb55262-e658-45e2-88c0-b0e8ccc5ad6c	--- files=13 freed=0.02GB catalogChecked=0 lowMatchKept=0 r2Missed=27 apply=0
a29ac9dc-cf0a-455b-964c-e75bd2f5fc47	--- files=62 freed=0.94GB catalogChecked=0 lowMatchKept=0 r2Missed=20 apply=0
bf810416-2f4c-4c4b-b27c-1270ea6f20b3	--- files=0 freed=0.00GB catalogChecked=0 lowMatchKept=0 r2Missed=0 apply=0
c2850c54-3396-420a-b7c3-92faae3137c1	--- files=42 freed=0.63GB catalogChecked=0 lowMatchKept=0 r2Missed=0 apply=0
d70ff7b3-e26b-4d23-8e05-bfc5d6f7a342	--- files=0 freed=0.00GB catalogChecked=0 lowMatchKept=0 r2Missed=0 apply=0
f6a39f3c-210b-479b-a8e7-c78491c120e9	--- files=3 freed=0.03GB catalogChecked=0 lowMatchKept=0 r2Missed=0 apply=0
